id,name,title,position,image_url,biography,term_start,term_end,is_leadership,contact_phone,contact_email,achievements,education,experience
a0eebc99-9c0b-4ef8-bb6d-6bb9bd380008,"Hon. Atty. Marsha B. Esturas","Vice Mayor","Presiding Officer","https://images.pexels.com/photos/774909/pexels-photo-774909.jpeg?auto=compress&cs=tinysrgb&w=400","A dedicated legal professional and public servant, Vice Mayor Esturas champions good governance and community welfare. She is known for her meticulous approach to legislation and her commitment to upholding justice.","2025-07-01","2028-06-30",true,"+639178888888","marsha.esturas@capalonga.gov.ph","[\"Authored key municipal ordinances\",\"Advocated for legal aid programs\",\"Promoted transparency in local government\"]","[\"Juris Doctor, University of the Philippines\",\"Bachelor of Arts in Political Science, Ateneo de Manila University\"]","[\"Municipal Councilor (2019-2025)\",\"Private Legal Practitioner (2010-2019)\"]"
a0eebc99-9c0b-4ef8-bb6d-6bb9bd380009,"Hon. Caroline O. Portugal","Sangguniang Bayan Member","Councilor","https://images.pexels.com/photos/1065084/pexels-photo-1065084.jpeg?auto=compress&cs=tinysrgb&w=400","Councilor Portugal is a strong advocate for community development and social services, focusing on programs that uplift vulnerable sectors. Her work emphasizes grassroots empowerment and sustainable community projects.","2025-07-01","2028-06-30",false,"+639179999999","caroline.portugal@capalonga.gov.ph","[\"Initiated livelihood projects for women\",\"Supported youth education programs\",\"Organized community outreach activities\"]","[\"Bachelor of Science in Social Work, Bicol University\"]","[\"Social Welfare Officer (2015-2025)\",\"Community Organizer (2010-2015)\"]"
a0eebc99-9c0b-4ef8-bb6d-6bb9bd380010,"Hon. Abel P. Malaluan, IV","Sangguniang Bayan Member","Councilor","https://images.pexels.com/photos/1222271/pexels-photo-1222271.jpeg?auto=compress&cs=tinysrgb&w=400","Councilor Malaluan is committed to sustainable development and environmental protection, pushing for policies that ensure a greener Capalonga. He is passionate about preserving natural resources for future generations.","2025-07-01","2028-06-30",false,"+639170000000","abel.malaluan@capalonga.gov.ph","[\"Sponsored environmental protection resolutions\",\"Led tree-planting initiatives\",\"Advocated for renewable energy projects\"]","[\"Master of Environmental Science, University of Santo Tomas\",\"Bachelor of Science in Biology, De La Salle University\"]","[\"Environmental Consultant (2017-2025)\",\"Research Assistant (2012-2017)\"]"
a0eebc99-9c0b-4ef8-bb6d-6bb9bd380011,"Hon. Juan P. Enero","Sangguniang Bayan Member","Councilor","https://images.pexels.com/photos/1516680/pexels-photo-1516680.jpeg?auto=compress&cs=tinysrgb&w=400","Councilor Enero is a staunch supporter of public health and sanitation, working to improve health services and promote hygiene in all barangays. His medical background provides valuable insight into public health policy.","2025-07-01","2028-06-30",false,"+639171111111","juan.enero@capalonga.gov.ph","[\"Expanded access to basic healthcare\",\"Implemented waste management programs\",\"Organized medical missions\"]","[\"Doctor of Medicine, Far Eastern University\",\"Bachelor of Science in Biology, University of the Philippines\"]","[\"Rural Health Physician (2018-2025)\",\"Medical Intern (2016-2018)"]"
a0eebc99-9c0b-4ef8-bb6d-6bb9bd380012,"Hon. Elmer M. Malaluan","Sangguniang Bayan Member","Councilor","https://images.pexels.com/photos/614810/pexels-photo-614810.jpeg?auto=compress&cs=tinysrgb&w=400","Councilor Malaluan is focused on infrastructure development and public works, ensuring that Capalonga has reliable and safe public facilities. His engineering expertise is crucial for municipal planning.","2025-07-01","2028-06-30",false,"+639172222222","elmer.malaluan@capalonga.gov.ph","[\"Oversaw road improvement projects\",\"Advocated for new public buildings\",\"Ensured quality control in construction\"]","[\"Bachelor of Science in Civil Engineering, Mapua University\"]","[\"Construction Project Manager (2016-2025)\",\"Civil Engineer (2010-2016)\"]"
a0eebc99-9c0b-4ef8-bb6d-6bb9bd380013,"Hon. Robinson E. Ricasio","Sangguniang Bayan Member","Councilor","https://images.pexels.com/photos/1181686/pexels-photo-1181686.jpeg?auto=compress&cs=tinysrgb&w=400","Councilor Ricasio is dedicated to education and youth development, striving to provide better learning opportunities and support for the young generation. He believes in nurturing the potential of every student.","2025-07-01","2028-06-30",false,"+639173333333","robinson.ricasio@capalonga.gov.ph","[\"Implemented school feeding programs\",\"Supported youth leadership training\",\"Secured donations for school supplies\"]","[\"Bachelor of Secondary Education, Philippine Normal University\"]","[\"High School Teacher (2017-2025)\",\"Youth Coordinator (2012-2017)\"]"
a0eebc99-9c0b-4ef8-bb6d-6bb9bd380014,"Hon. Jumaro R. Parale","Sangguniang Bayan Member","Councilor","https://images.pexels.com/photos/220453/pexels-photo-220453.jpeg?auto=compress&cs=tinysrgb&w=400","Councilor Parale is passionate about tourism, culture, and arts, aiming to showcase Capalonga's rich heritage and boost local tourism. He actively promotes cultural preservation and creative industries.","2025-07-01","2028-06-30",false,"+639174444444","jumaro.parale@capalonga.gov.ph","[\"Organized cultural festivals\",\"Promoted local tourist spots online\",\"Supported local artists\"]","[\"Bachelor of Science in Tourism Management, University of Santo Tomas\"]","[\"Tourism Officer (2016-2025)\",\"Hotel Manager (2010-2016)\"]"
a0eebc99-9c0b-4ef8-bb6d-6bb9bd380015,"Hon. Mariano L. Arguelles","Sangguniang Bayan Member","Councilor","https://images.pexels.com/photos/614810/pexels-photo-614810.jpeg?auto=compress&cs=tinysrgb&w=400","Councilor Arguelles is a champion of good governance and public accountability, ensuring transparency and ethical conduct in local administration. His background in public administration strengthens his advocacy.","2025-07-01","2028-06-30",false,"+639175555555","mariano.arguelles@capalonga.gov.ph","[\"Strengthened anti-corruption measures\",\"Promoted citizen participation in governance\",\"Advocated for ethical leadership\"]","[\"Master in Public Administration, University of the Philippines\",\"Bachelor of Laws, San Beda University\"]","[\"Government Auditor (2015-2025)\",\"Legal Researcher (2010-2015)\"]"
a0eebc99-9c0b-4ef8-bb6d-6bb9bd380016,"Hon. Arlene E. Vigonte-Mena","Sangguniang Bayan Member","Councilor","https://images.pexels.com/photos/1065084/pexels-photo-1065084.jpeg?auto=compress&cs=tinysrgb&w=400","Councilor Vigonte-Mena is a dedicated advocate for women, children, and family welfare, implementing programs that protect and empower them. Her work is rooted in compassion and social justice.","2025-07-01","2028-06-30",false,"+639176666666","arlene.mena@capalonga.gov.ph","[\"Established women's crisis centers\",\"Supported child protection initiatives\",\"Promoted family-centered policies\"]","[\"Bachelor of Science in Psychology, University of Santo Tomas\"]","[\"Social Worker (2016-2025)\",\"Family Counselor (2010-2016)\"]"
a0eebc99-9c0b-4ef8-bb6d-6bb9bd380017,"Hon. Leslie B. Esturas","LNB President","Ex-Officio Member","https://images.pexels.com/photos/774909/pexels-photo-774909.jpeg?auto=compress&cs=tinysrgb&w=400","As the LNB President, Hon. Esturas represents the barangays, ensuring their concerns are heard and addressed in the Sangguniang Bayan. She is a strong voice for local communities.","2025-07-01","2028-06-30",true,"+639177777777","leslie.esturas@capalonga.gov.ph","[\"Strengthened barangay governance\",\"Facilitated inter-barangay cooperation\",\"Advocated for increased barangay funding\"]","[\"Bachelor of Science in Public Administration, Bicol University\"]","[\"Barangay Captain (2018-2025)\",\"Barangay Kagawad (2013-2018)\"]"
a0eebc99-9c0b-4ef8-bb6d-6bb9bd380018,"Hon. John Ernie M. Talento","SK Federation President","Ex-Officio Member","https://images.pexels.com/photos/220453/pexels-photo-220453.jpeg?auto=compress&cs=tinysrgb&w=400","Hon. Talento leads the youth sector, promoting youth empowerment, sports development, and active participation in local governance. He is a dynamic leader inspiring the next generation.","2025-07-01","2028-06-30",true,"+639178888889","john.talento@capalonga.gov.ph","[\"Organized youth sports leagues\",\"Implemented youth leadership programs\",\"Advocated for youth welfare policies\"]","[\"Bachelor of Science in Business Administration, De La Salle University\"]","[\"SK Chairperson (2023-2025)\",\"Youth Volunteer (2020-2023)\"]"
